sub_group_id,sub_group,super_group,dr_super_group
4102,Ecological applications,ENVIRONMENTAL SCIENCES,ENVIRONMENTAL SCIENCES
4103,Environmental biotechnology,ENVIRONMENTAL SCIENCES,ENVIRONMENTAL SCIENCES
4104,Environmental management,ENVIRONMENTAL SCIENCES,ENVIRONMENTAL SCIENCES
4105,Pollution and contamination,ENVIRONMENTAL SCIENCES,ENVIRONMENTAL SCIENCES
4106,Soil sciences,ENVIRONMENTAL SCIENCES,ENVIRONMENTAL SCIENCES
4199,Other environmental sciences,ENVIRONMENTAL SCIENCES,ENVIRONMENTAL SCIENCES
4201,Allied health and rehabilitation science,HEALTH SCIENCES,HEALTH SCIENCES
4202,Epidemiology,HEALTH SCIENCES,HEALTH SCIENCES
4203,Health services and systems,HEALTH SCIENCES,HEALTH SCIENCES
4204,Midwifery,HEALTH SCIENCES,HEALTH SCIENCES
4205,Nursing,HEALTH SCIENCES,HEALTH SCIENCES
4206,Public health,HEALTH SCIENCES,HEALTH SCIENCES
4207,Sports science and exercise,HEALTH SCIENCES,HEALTH SCIENCES
4208,"Traditional, complementary and integrative medicine",HEALTH SCIENCES,HEALTH SCIENCES
4299,Other health sciences,HEALTH SCIENCES,HEALTH SCIENCES
4301,Archaeology,"HISTORY, HERITAGE AND ARCHAEOLOGY",HUMANITIES
4302,"Heritage, archive and museum studies","HISTORY, HERITAGE AND ARCHAEOLOGY",HUMANITIES
4303,Historical studies,"HISTORY, HERITAGE AND ARCHAEOLOGY",HUMANITIES
4399,"Other history, heritage and archaeology","HISTORY, HERITAGE AND ARCHAEOLOGY",HUMANITIES
4401,Anthropology,HUMAN SOCIETY,SOCIAL SCIENCE
4402,Criminology,HUMAN SOCIETY,SOCIAL SCIENCE
4403,Demography,HUMAN SOCIETY,SOCIAL SCIENCE
4404,Development studies,HUMAN SOCIETY,SOCIAL SCIENCE
4405,Gender studies,HUMAN SOCIETY,SOCIAL SCIENCE
4406,Human geography,HUMAN SOCIETY,SOCIAL SCIENCE
4407,Policy and administration,HUMAN SOCIETY,SOCIAL SCIENCE
4408,Political science,HUMAN SOCIETY,SOCIAL SCIENCE
4409,Social work,HUMAN SOCIETY,SOCIAL SCIENCE
4410,Sociology,HUMAN SOCIETY,SOCIAL SCIENCE
4499,Other human society,HUMAN SOCIETY,SOCIAL SCIENCE
4501,"Aboriginal and Torres Strait Islander culture, language and history",INDIGENOUS STUDIES,SOCIAL SCIENCE
4502,Aboriginal and Torres Strait Islander education,INDIGENOUS STUDIES,SOCIAL SCIENCE
4503,Aboriginal and Torres Strait Islander environmental knowledges and management,INDIGENOUS STUDIES,SOCIAL SCIENCE
4504,Aboriginal and Torres Strait Islander health and wellbeing,INDIGENOUS STUDIES,SOCIAL SCIENCE
4505,"Aboriginal and Torres Strait Islander peoples, society and community",INDIGENOUS STUDIES,SOCIAL SCIENCE
4506,Aboriginal and Torres Strait Islander sciences,INDIGENOUS STUDIES,SOCIAL SCIENCE
4507,"Te ahurea, reo me te hītori o te Māori (Māori culture, language and history)",INDIGENOUS STUDIES,SOCIAL SCIENCE
4508,Mātauranga Māori (Māori education),INDIGENOUS STUDIES,SOCIAL SCIENCE
4509,Ngā mātauranga taiao o te Māori (Māori environmental knowledges),INDIGENOUS STUDIES,SOCIAL SCIENCE
4510,Te hauora me te oranga o te Māori (Māori health and wellbeing),INDIGENOUS STUDIES,SOCIAL SCIENCE
4511,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)",INDIGENOUS STUDIES,SOCIAL SCIENCE
4512,Ngā pūtaiao Māori (Māori sciences),INDIGENOUS STUDIES,SOCIAL SCIENCE
4513,"Pacific Peoples culture, language and history",INDIGENOUS STUDIES,SOCIAL SCIENCE
4514,Pacific Peoples education,INDIGENOUS STUDIES,SOCIAL SCIENCE
4515,Pacific Peoples environmental knowledges,INDIGENOUS STUDIES,SOCIAL SCIENCE
4516,Pacific Peoples health and wellbeing,INDIGENOUS STUDIES,SOCIAL SCIENCE
4517,Pacific Peoples sciences,INDIGENOUS STUDIES,SOCIAL SCIENCE
4518,Pacific Peoples society and community,INDIGENOUS STUDIES,SOCIAL SCIENCE
4519,"Other Indigenous data, methodologies and global Indigenous studies",INDIGENOUS STUDIES,SOCIAL SCIENCE
4599,Other Indigenous studies,INDIGENOUS STUDIES,SOCIAL SCIENCE
4601,Applied computing,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4602,Artificial intelligence,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4603,Computer vision and multimedia computation,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4604,Cybersecurity and privacy,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4605,Data management and data science,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4606,Distributed computing and systems software,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4607,"Graphics, augmented reality and games",INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4608,Human-centred computing,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4609,Information systems,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4610,Library and information studies,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4611,Machine learning,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4612,Software engineering,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4613,Theory of computation,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4699,Other information and computing sciences,INFORMATION AND COMPUTING SCIENCES,ENGINEERING
4701,Communication and media studies,"LANGUAGE, COMMUNICATION AND CULTURE",HUMANITIES
4702,Cultural studies,"LANGUAGE, COMMUNICATION AND CULTURE",HUMANITIES
4703,Language studies,"LANGUAGE, COMMUNICATION AND CULTURE",HUMANITIES
4704,Linguistics,"LANGUAGE, COMMUNICATION AND CULTURE",HUMANITIES
4705,Literary studies,"LANGUAGE, COMMUNICATION AND CULTURE",HUMANITIES
4799,"Other language, communication and culture","LANGUAGE, COMMUNICATION AND CULTURE",HUMANITIES
4801,Commercial law,LAW AND LEGAL STUDIES,HUMANITIES
4802,Environmental and resources law,LAW AND LEGAL STUDIES,HUMANITIES
4803,International and comparative law,LAW AND LEGAL STUDIES,HUMANITIES
4804,Law in context,LAW AND LEGAL STUDIES,HUMANITIES
4805,Legal systems,LAW AND LEGAL STUDIES,HUMANITIES
4806,Private law and civil obligations,LAW AND LEGAL STUDIES,HUMANITIES
4807,Public law,LAW AND LEGAL STUDIES,HUMANITIES
4899,Other law and legal studies,LAW AND LEGAL STUDIES,HUMANITIES
4901,Applied mathematics,MATHEMATICAL SCIENCES,ENGINEERING
4902,Mathematical physics,MATHEMATICAL SCIENCES,ENGINEERING
4903,Numerical and computational mathematics,MATHEMATICAL SCIENCES,ENGINEERING
4904,Pure mathematics,MATHEMATICAL SCIENCES,ENGINEERING
4905,Statistics,MATHEMATICAL SCIENCES,ENGINEERING
4999,Other mathematical sciences,MATHEMATICAL SCIENCES,ENGINEERING
5001,Applied ethics,PHILOSOPHY AND RELIGIOUS STUDIES,HUMANITIES
5002,History and philosophy of specific fields,PHILOSOPHY AND RELIGIOUS STUDIES,HUMANITIES
5003,Philosophy,PHILOSOPHY AND RELIGIOUS STUDIES,HUMANITIES
5004,Religious studies,PHILOSOPHY AND RELIGIOUS STUDIES,HUMANITIES
5005,Theology,PHILOSOPHY AND RELIGIOUS STUDIES,HUMANITIES
5099,Other philosophy and religious studies,PHILOSOPHY AND RELIGIOUS STUDIES,HUMANITIES
5101,Astronomical sciences,PHYSICAL SCIENCES,ENGINEERING
5102,"Atomic, molecular and optical physics",PHYSICAL SCIENCES,ENGINEERING
5103,Classical physics,PHYSICAL SCIENCES,ENGINEERING
5104,Condensed matter physics,PHYSICAL SCIENCES,ENGINEERING
5105,Medical and biological physics,PHYSICAL SCIENCES,ENGINEERING
5106,Nuclear and plasma physics,PHYSICAL SCIENCES,ENGINEERING
5107,Particle and high energy physics,PHYSICAL SCIENCES,ENGINEERING
5108,Quantum physics,PHYSICAL SCIENCES,ENGINEERING
5109,Space sciences,PHYSICAL SCIENCES,ENGINEERING
5110,Synchrotrons and accelerators,PHYSICAL SCIENCES,ENGINEERING
5199,Other physical sciences,PHYSICAL SCIENCES,ENGINEERING
5201,Applied and developmental psychology,PSYCHOLOGY,PSYCHOLOGY
5202,Biological psychology,PSYCHOLOGY,PSYCHOLOGY
5203,Clinical and health psychology,PSYCHOLOGY,PSYCHOLOGY
5204,Cognitive and computational psychology,PSYCHOLOGY,PSYCHOLOGY
5205,Social and personality psychology,PSYCHOLOGY,PSYCHOLOGY
5299,Other psychology,PSYCHOLOGY,PSYCHOLOGY
